metabolite	uRBC	Std.	Parasite	Std..1
Choline_vo	0.00016003445259887947	2.49080860076077e-05	0.0019528436969759846	0.00012127532513067421
Choline_phosphate	5.708103043410098e-05	1.4986365081243967e-05	0.011567800243233539	0.00061135202360745
CDP_choline	2.6153490307988083e-06	2.6153490307988084e-09	0.0007525289405544399	5.510253234142428e-05
CDP_ethanolamine	1.500712181958364e-06	3.756969639480828e-07	0.0012003147564215446	0.00010448335703565778
Ethanolamine	0.00026153490307988085	5.1476711082389246e-05	0.00031469392059549307	3.930564383722364e-05
Ethanolamine_phosphate	9.382045729532234e-06	2.241727740684693e-06	0.010075180857009857	0.0009453256112749989
Serine_vo	0.0005064644154880232	0.00010523666338214253	0.0012936034680605247	0.00013309189527161168
Myo_inositol_vo	0.0003071997274271616	0.00010253828739798504	0.0011319030345529593	0.00020896671407131555
Myo_inositol_1_phosphate_vo	0.0028436731525352124	0.0002822916414195539	0.003078527484086345	0.0006841172186858545
Serine_t14	0.00018494253860648716	4.877833509823175e-05	0.0005727926894633381	0.00014988386336662812
2,3-Bisphosphoglycerate 			0.004272622993065291	0.0010883683024547684
Choline_t14	3.756969639480828e-05	1.2495556480483196e-05	0.0012438494885197355	0.00043099384777208833
myo_Inositol_t14	9.008424439418118e-05	2.241727740684693e-05	0.000202125541884457	5.6159804406666056e-05
PC_t14			0.008209406624230253	0.001909308964877794
PE_t14			0.0014490846541254918	0.0004235307508409699
Serine_t09			0.0015174963759940771	0.000808502167537828
myo_Inositol_t09			0.00019715014393037805	6.592402289154597e-05
PC_t09			0.0013993306745847024	0.0003364612866445884
PE_t09			0.0038932488990667717	0.0011381222819955579
avg Cho	9.880207449684388e-05	8.659565956825606e-05	0.00159834659274786	0.0005013346126214024
avg Ser	0.0003457034770472552	0.00022735029944275995	0.0009331980787619315	0.0005096901894984261
avg PC			0.004804368649407478	0.00481545088438979
avg PE			0.006051327761648513	0.0017282851119316757
